Returns,Volatility,Sharpe
0.2294632388206389,0.3188292933538242,0.6883408877272994
0.3078336534439565,0.3762987876160668,0.7914818310491946
0.2973803257877699,0.3641440190855128,0.7891941394766769
0.29156346349384804,0.3667817226294353,0.7676594718933569
0.27196323251910626,0.34901008233283276,0.7505892975013987
0.31131390336954257,0.3777646999778462,0.7976232384529655
0.23659207241526775,0.3450913035849527,0.6566148438437439
0.29115970438508015,0.36496816527727094,0.7703677502159114
0.23587227414787898,0.32209449609825824,0.7012608935701102
0.22426517680321278,0.3185956173718891,0.6725302079504318
0.28108614219955547,0.35549043186457147,0.7625694474467012
0.23336838657027772,0.3166275438371551,0.7054610090559855
0.23065605260257555,0.31967236313891395,0.6902568943899889
0.27156784649169924,0.34145569765594974,0.7660374341014939
0.3278845749122827,0.37730674468522507,0.842509653988517
0.34367698515122636,0.39823304865845005,0.8378937566214122
0.20386245008527915,0.30754247685751024,0.6303599166729056
0.21619013613758736,0.3181963025959719,0.6479966437554625
0.2764053201177642,0.3646105751297972,0.730657140218511
0.3393730453370998,0.3916403867578696,0.8410088858908558
0.29888313521018745,0.3736179141262314,0.7732047214218554
0.20852747835204455,0.31626747123407845,0.6277201938517059
0.3152971318444604,0.3871614734913374,0.7885524587231206
0.2625538023576444,0.34817767749841855,0.7253589723849874
0.26997934762043296,0.3547268551763471,0.7329000999689976
0.19891350988594464,0.3106660756676594,0.6080918538657508
0.25340619124670766,0.33801669833055714,0.7201010850909889
0.2513246026753353,0.32874657994760814,0.734074869201057
0.22431993404947373,0.3049776459467356,0.7027398135498256
0.28709621933185014,0.3543073844771241,0.7820785890217337
0.2793943769649441,0.35866452751741884,0.751104043741434
0.21456604406435897,0.3144437147217083,0.6505649007658041
0.27633274673568575,0.352000705363699,0.7566256052257105
0.2679214371326516,0.34050582389064993,0.757465567506653
0.21458956923021405,0.3127768967138252,0.6541070372515493
0.2792003559862549,0.3397556857618217,0.7923351021562357
0.2849629861898246,0.37595786194301556,0.7313665014711171
0.23824728899327022,0.3160571601788575,0.7221709163750777
0.30015899222827597,0.3506914440692061,0.8273911358128698
0.2842830527320982,0.36896654467203893,0.7433819046545223
0.18564110659088778,0.3134946157728234,0.5602683355753951
0.26564288529916613,0.34237386594473807,0.7466775672078574
0.2353539411407651,0.327608091196871,0.6878766037721032
0.23024715274360658,0.32323976322666925,0.6813739452876657
